record_index,reference_order,prediction_order,resolved,prediction_text
58,3-1-4-5-2,3-1-4-2-5,True,Contig 3-Contig 1-Contig 4-Contig 2-Contig 5
60,1-4-2-3-5,1-3-4-2-5,True,Contig 1-Contig 3-Contig 4-Contig 2-Contig 5
69,4-2-3-5-1,4-2-3-1-5,True,Contig 4-Contig 2-Contig 3-Contig 1-Contig 5
72,2-1-4-5-3,4-2-1-3-5,True,Contig 4-Contig 2-Contig 1-Contig 3-Contig 5
80,5-1-3-4-2,5-4-3-1-2,True,Contig 5-Contig 4-Contig 3-Contig 1-Contig 2
88,3-5-2-1-4,3-2-5-4-1,True,Contig 3-Contig 2-Contig 5-Contig 4-Contig 1
90,4-5-1-2-3,4-2-5-1-3,True,Contig 4-Contig 2-Contig 5-Contig 1-Contig 3
93,2-4-5-3-1,2-4-1-5-3,True,Contig 2-Contig 4-Contig 1-Contig 5-Contig 3
99,5-4-1-3-2,4-5-1-3-2,True,Contig 4-Contig 5-Contig 1-Contig 3-Contig 2
100,4-3-5-1-2,2-3-5-4-1,True,Contig 2-Contig 3-Contig 5-Contig 4-Contig 1
109,2-3-1-5-4,3-2-1-4-5,True,Contig 3-Contig 2-Contig 1-Contig 4-Contig 5
110,2-4-1-3-5,2-3-4-1-5,True,Contig 2-Contig 3-Contig 4-Contig 1-Contig 5
113,3-4-1-5-2,4-5-2-3-1,True,Contig 4-Contig 5-Contig 2-Contig 3-Contig 1
115,4-1-2-5-3,1-4-2-5-3,True,Contig 1-Contig 4-Contig 2-Contig 5-Contig 3
116,1-3-2-5-4,1-4-3-2-5,True,Contig 1-Contig 4-Contig 3-Contig 2-Contig 5
117,2-1-4-3-5,5-3-2-1-4,True,Contig 5-Contig 3-Contig 2-Contig 1-Contig 4
121,4-3-1-2-5,4-3-2-1-5,True,Contig 4-Contig 3-Contig 2-Contig 1-Contig 5
122,5-4-3-1-2,1-2-3-4-5,True,Contig 1-Contig 2-Contig 3-Contig 4-Contig 5
125,2-5-3-4-1,5-2-3-4-1,True,Contig 5-Contig 2-Contig 3-Contig 4-Contig 1
128,3-1-4-2-5,1-2-5-3-4,True,Contig 1-Contig 2-Contig 5-Contig 3-Contig 4
130,4-1-3-5-2,4-3-1-5-2,True,Contig 4-Contig 3-Contig 1-Contig 5-Contig 2
132,2-4-3-5-1,4-2-3-1-5,True,Contig 4-Contig 2-Contig 3-Contig 1-Contig 5
134,4-3-5-2-1,3-5-4-2-1,True,Contig 3-Contig 5-Contig 4-Contig 2-Contig 1
136,5-1-4-2-3,5-1-3-4-2,True,Contig 5-Contig 1-Contig 3-Contig 4-Contig 2
143,5-4-3-2-1,5-4-2-3-1,True,Contig 5-Contig 4-Contig 2-Contig 3-Contig 1
144,4-2-1-5-3,4-2-5-1-3,True,Contig 4-Contig 2-Contig 5-Contig 1-Contig 3
147,2-5-1-4-3,2-4-5-1-3,True,Contig 2-Contig 4-Contig 5-Contig 1-Contig 3
150,1-3-5-4-2,4-1-3-5-2,True,Contig 4-Contig 1-Contig 3-Contig 5-Contig 2
151,5-3-1-2-4,5-3-2-4-1,True,Contig 5-Contig 3-Contig 2-Contig 4-Contig 1
152,4-5-1-3-2,4-5-3-2-1,True,Contig 4-Contig 5-Contig 3-Contig 2-Contig 1
157,4-5-2-3-1,5-4-3-1-2,True,Contig 5-Contig 4-Contig 3-Contig 1-Contig 2
165,4-2-5-3-1,2-5-1-3-4,True,Contig 2-Contig 5-Contig 1-Contig 3-Contig 4
167,1-4-2-5-3,1-3-4-2-5,True,Contig 1-Contig 3-Contig 4-Contig 2-Contig 5
183,2-3-1-4-5,3-1-5-2-4,True,Contig 3-Contig 1-Contig 5-Contig 2-Contig 4
185,1-2-3-5-4,5-4-3-1-2,True,Contig 5-Contig 4-Contig 3-Contig 1-Contig 2
186,5-3-1-2-4,5-1-2-4-3,True,Contig 5-Contig 1-Contig 2-Contig 4-Contig 3
190,5-3-4-1-2,5-4-3-1-2,True,Contig 5-Contig 4-Contig 3-Contig 1-Contig 2
196,3-5-2-1-4,5-3-2-1-4,True,Contig 5-Contig 3-Contig 2-Contig 1-Contig 4
199,2-5-1-3-4,2-3-4-5-1,True,Contig 2-Contig 3-Contig 4-Contig 5-Contig 1
202,4-2-1-5-3,5-2-1-4-3,True,Contig 5-Contig 2-Contig 1-Contig 4-Contig 3
205,5-2-4-3-1,5-4-3-1-2,True,Contig 5-Contig 4-Contig 3-Contig 1-Contig 2
210,3-5-4-2-1,3-4-2-1-5,True,Contig 3-Contig 4-Contig 2-Contig 1-Contig 5
211,4-3-1-5-2,4-2-3-1-5,True,Contig 4-Contig 2-Contig 3-Contig 1-Contig 5
213,4-2-3-5-1,4-2-1-3-5,True,Contig 4-Contig 2-Contig 1-Contig 3-Contig 5
216,1-5-4-3-2,1-4-5-3-2,True,Contig 1-Contig 4-Contig 5-Contig 3-Contig 2
217,5-1-2-3-4,5-2-3-4-1,True,Contig 5-Contig 2-Contig 3-Contig 4-Contig 1
222,3-2-5-1-4,3-2-5-4-1,True,Contig 3-Contig 2-Contig 5-Contig 4-Contig 1
224,1-3-2-4-5,1-4-5-3-2,True,Contig 1-Contig 4-Contig 5-Contig 3-Contig 2
225,4-3-1-2-5,3-2-5-1-4,True,Contig 3-Contig 2-Contig 5-Contig 1-Contig 4
233,3-1-2-5-4,1-3-2-5-4,True,Contig 1-Contig 3-Contig 2-Contig 5-Contig 4
240,1-5-4-3-2,1-4-5-3-2,True,Contig 1-Contig 4-Contig 5-Contig 3-Contig 2
241,1-2-4-3-5,5-3-4-1-2,True,Contig 5-Contig 3-Contig 4-Contig 1-Contig 2
244,1-3-5-2-4,1-4-2-3-5,True,Contig 1-Contig 4-Contig 2-Contig 3-Contig 5
245,5-2-1-3-4,3-1-4-5-2,True,Contig 3-Contig 1-Contig 4-Contig 5-Contig 2
247,3-1-5-4-2,3-1-2-4-5,True,Contig 3-Contig 1-Contig 2-Contig 4-Contig 5
248,3-4-2-5-1,2-3-4-1-5,True,Contig 2-Contig 3-Contig 4-Contig 1-Contig 5
254,5-3-4-1-2,1-5-3-4-2,True,Contig 1-Contig 5-Contig 3-Contig 4-Contig 2
256,1-2-4-5-3,4-3-2-1-5,True,Contig 4-Contig 3-Contig 2-Contig 1-Contig 5
261,4-5-3-2-1,2-4-5-3-1,True,Contig 2-Contig 4-Contig 5-Contig 3-Contig 1
264,4-2-1-5-3,4-2-5-3-1,True,Contig 4-Contig 2-Contig 5-Contig 3-Contig 1
266,2-3-5-4-1,2-5-3-4-1,True,Contig 2-Contig 5-Contig 3-Contig 4-Contig 1
268,2-3-5-4-1,3-5-1-4-2,True,Contig 3-Contig 5-Contig 1-Contig 4-Contig 2
283,5-3-2-1-4,5-3-1-2-4,True,Contig 5-Contig 3-Contig 1-Contig 2-Contig 4
287,1-4-3-5-2,1-4-5-3-2,True,Contig 1-Contig 4-Contig 5-Contig 3-Contig 2
293,2-1-4-5-3,1-2-4-5-3,True,Contig 1-Contig 2-Contig 4-Contig 5-Contig 3
295,2-4-5-1-3,1-2-4-5-3,True,Contig 1-Contig 2-Contig 4-Contig 5-Contig 3
302,1-2-5-3-4,4-3-2-5-1,True,Contig 4-Contig 3-Contig 2-Contig 5-Contig 1
303,3-4-5-2-1,4-3-1-2-5,True,Contig 4-Contig 3-Contig 1-Contig 2-Contig 5
304,4-3-2-1-5,4-3-1-2-5,True,Contig 4-Contig 3-Contig 1-Contig 2-Contig 5
308,2-4-5-1-3,2-3-4-5-1,True,Contig 2-Contig 3-Contig 4-Contig 5-Contig 1
309,2-3-1-5-4,1-3-2-4-5,True,Contig 1-Contig 3-Contig 2-Contig 4-Contig 5
321,4-1-5-2-3,4-3-2-5-1,True,Contig 4-Contig 3-Contig 2-Contig 5-Contig 1
325,1-2-5-4-3,4-2-1-3-5,True,Contig 4-Contig 2-Contig 1-Contig 3-Contig 5
330,5-1-3-2-4,5-2-4-1-3,True,Contig 5-Contig 2-Contig 4-Contig 1-Contig 3
334,4-1-2-3-5,4-3-1-2-5,True,Contig 4-Contig 3-Contig 1-Contig 2-Contig 5
337,1-5-2-4-3,2-4-3-5-1,True,Contig 2-Contig 4-Contig 3-Contig 5-Contig 1
339,3-2-5-1-4,3-2-1-4-5,True,Contig 3-Contig 2-Contig 1-Contig 4-Contig 5
340,3-5-4-1-2,3-4-1-2-5,True,Contig 3-Contig 4-Contig 1-Contig 2-Contig 5
341,1-4-2-3-5,2-4-5-1-3,True,Contig 2-Contig 4-Contig 5-Contig 1-Contig 3
343,5-1-3-4-2,5-4-3-1-2,True,Contig 5-Contig 4-Contig 3-Contig 1-Contig 2
350,5-3-2-1-4,2-1-3-5-4,True,Contig 2-Contig 1-Contig 3-Contig 5-Contig 4
356,3-5-4-2-1,3-1-4-5-2,True,Contig 3-Contig 1-Contig 4-Contig 5-Contig 2
358,3-1-5-4-2,3-4-2-1-5,True,Contig 3-Contig 4-Contig 2-Contig 1-Contig 5
365,1-2-5-4-3,1-2-4-5-3,True,Contig 1-Contig 2-Contig 4-Contig 5-Contig 3
366,2-1-4-5-3,5-2-4-3-1,True,Contig 5-Contig 2-Contig 4-Contig 3-Contig 1
373,2-4-1-5-3,4-1-3-2-5,True,Contig 4-Contig 1-Contig 3-Contig 2-Contig 5
382,3-4-1-2-5,3-5-4-1-2,True,Contig 3-Contig 5-Contig 4-Contig 1-Contig 2
383,1-3-4-5-2,4-3-2-1-5,True,Contig 4-Contig 3-Contig 2-Contig 1-Contig 5
386,4-2-5-1-3,4-3-2-5-1,True,Contig 4-Contig 3-Contig 2-Contig 5-Contig 1
393,1-2-3-5-4,1-4-5-2-3,True,Contig 1-Contig 4-Contig 5-Contig 2-Contig 3
394,3-4-2-1-5,3-5-4-2-1,True,Contig 3-Contig 5-Contig 4-Contig 2-Contig 1
400,3-4-5-2-1,5-2-3-1-4,True,Contig 5-Contig 2-Contig 3-Contig 1-Contig 4
401,1-5-3-2-4,2-1-4-5-3,True,Contig 2-Contig 1-Contig 4-Contig 5-Contig 3
410,1-3-5-4-2,1-5-3-4-2,True,Contig 1-Contig 5-Contig 3-Contig 4-Contig 2
413,4-5-2-1-3,4-5-1-2-3,True,Contig 4-Contig 5-Contig 1-Contig 2-Contig 3
414,5-1-2-4-3,1-2-5-4-3,True,Contig 1-Contig 2-Contig 5-Contig 4-Contig 3
415,4-3-5-2-1,1-2-5-4-3,True,Contig 1-Contig 2-Contig 5-Contig 4-Contig 3
416,4-1-2-3-5,4-1-3-2-5,True,Contig 4-Contig 1-Contig 3-Contig 2-Contig 5
418,1-4-3-5-2,3-1-4-2-5,True,Contig 3-Contig 1-Contig 4-Contig 2-Contig 5
419,5-1-4-3-2,1-2-5-4-3,True,Contig 1-Contig 2-Contig 5-Contig 4-Contig 3
422,4-5-2-3-1,4-2-3-1-5,True,Contig 4-Contig 2-Contig 3-Contig 1-Contig 5
425,2-1-4-3-5,3-2-1-4-5,True,Contig 3-Contig 2-Contig 1-Contig 4-Contig 5
427,2-4-5-1-3,5-2-4-1-3,True,Contig 5-Contig 2-Contig 4-Contig 1-Contig 3
428,5-2-4-1-3,2-5-3-4-1,True,Contig 2-Contig 5-Contig 3-Contig 4-Contig 1
432,2-4-3-5-1,2-5-4-3-1,True,Contig 2-Contig 5-Contig 4-Contig 3-Contig 1
437,1-4-5-2-3,3-1-4-2-5,True,Contig 3-Contig 1-Contig 4-Contig 2-Contig 5
441,5-1-2-4-3,5-1-3-2-4,True,Contig 5-Contig 1-Contig 3-Contig 2-Contig 4
442,5-1-3-2-4,5-1-4-3-2,True,Contig 5-Contig 1-Contig 4-Contig 3-Contig 2
450,2-1-3-4-5,2-3-4-5-1,True,Contig 2-Contig 3-Contig 4-Contig 5-Contig 1
452,3-1-4-2-5,3-1-2-4-5,True,Contig 3-Contig 1-Contig 2-Contig 4-Contig 5
454,1-3-5-4-2,1-3-4-5-2,True,Contig 1-Contig 3-Contig 4-Contig 5-Contig 2
456,5-1-2-4-3,5-2-4-3-1,True,Contig 5-Contig 2-Contig 4-Contig 3-Contig 1
462,1-2-4-3-5,2-4-1-3-5,True,Contig 2-Contig 4-Contig 1-Contig 3-Contig 5
464,5-2-1-3-4,5-1-3-4-2,True,Contig 5-Contig 1-Contig 3-Contig 4-Contig 2
474,3-2-5-1-4,3-2-1-5-4,True,Contig 3-Contig 2-Contig 1-Contig 5-Contig 4
477,1-4-2-5-3,1-5-4-2-3,True,Contig 1-Contig 5-Contig 4-Contig 2-Contig 3
482,1-5-4-3-2,1-3-5-4-2,True,Contig 1-Contig 3-Contig 5-Contig 4-Contig 2
483,5-3-1-2-4,2-5-3-1-4,True,Contig 2-Contig 5-Contig 3-Contig 1-Contig 4
485,5-3-4-1-2,2-3-4-1-5,True,Contig 2-Contig 3-Contig 4-Contig 1-Contig 5
492,1-2-5-3-4,2-1-5-3-4,True,Contig 2-Contig 1-Contig 5-Contig 3-Contig 4
498,1-5-4-3-2,4-5-3-2-1,True,Contig 4-Contig 5-Contig 3-Contig 2-Contig 1
